,地址,店名
96,臺北市北投區文林北路98號100號,統一超商：新豪美
97,臺北市北投區實踐街65號,鴻成行周邊商品販售中
98,臺北市北投區石牌路二段348巷1號3號1樓,統一超商：行義
99,臺北市北投區富貴一路3號,統一超商：天富
100,臺北市北投區中央南路1段114號,統一超商：大中
101,臺北市北投區自強街82號,統一超商：統勝
102,"臺北市文山區秀明路二段8號,10號",統一超商：新秀
103,臺北市文山區羅斯福路六段20.22號,統一超商：新萬隆
104,臺北市文山區景中街30巷12號,愛買：景美店
105,臺北市文山區興隆路二段94之3號1樓,鈺峰行周邊商品販售中
106,臺北市文山區萬和街6號2樓之1,統一超商：萬美
107,新北市中和區中山路三段122號3樓,FUNBOX：中和環球周邊商品販售中
108,新北市中和區中山路三段122號3樓,TOYWORLD：中和環球
109,新北市中和區和平街19-2號,好日玩具周邊商品販售中
110,新北市中和區中山路二段291號6樓602櫃,玩具e哥：中和威力店周邊商品販售中
111,新北市中和區景平路71-5號,統一超商：冠德
112,新北市中和區中正路683號,統一超商：景鑫
113,新北市中和區壽德街22號,統一超商：德旺
114,新北市中和區中山路三段118之6之7之8號,統一超商：環冠
115,新北市中和區福祥路156、158號,統一超商：福勝
116,新北市中和區大勇街25巷1號,統一超商：福和
117,新北市中和區民利街38號1樓,統一超商：利穗
118,新北市中和區圓通路280號,統一超商：圓通
119,新北市中和區景平路756號,統一超商：福美
120,新北市中和區福祥路68號,統一超商：鑫庫
121,新北市永和區中山路一段238號3樓,FUNBOX：比漾廣場周邊商品販售中
122,新北市永和區民生路46巷56號,愛買：永和店
123,新北市永和區仁愛路267號,統一超商：園和
124,新北市永和區永和路二段272號274號1樓,統一超商：永藝
125,新北市永和區永利路132號1樓,玩具超人
126,新北市汐止區新臺五路一段93-99號2樓,FUNBOX：汐止遠雄周邊商品販售中
127,新北市汐止區中興路131號,四傑文具周邊商品販售中
128,新北市汐止區新臺五路一段99號,家樂福：汐科店
129,新北市汐止區宜興街8號,統一超商：富鄰
130,新北市汐止區湖前街37.39號1樓,統一超商：湖鑫
131,新北市汐止區建成路57巷1號3號,統一超商：旭泰
132,新北市新莊區新北大道四段3號5樓,FUNBOX：宏匯廣場周邊商品販售中
133,新北市新莊區幸福路763號3樓,TOYWORLD：新莊佳瑪
134,新北市新莊區民安路222號,文薪書城周邊商品販售中
135,新北市新莊區幸福路763號3樓,老虎歡樂世界：新莊佳瑪
136,新北市新莊區新泰路21號,統一超商：莊泰
137,新北市新莊區八德街59號,統一超商：莊勝
138,新北市新莊區中港路527號,統一超商：港義
139,新北市新莊區新莊路437號1樓,統一超商：武聖廟
140,新北市新莊區民安西路390號,統一超商：光華
